object_size_px,velocity_px_s,background,threshold_name,theta,event_rate_analytical,fired_pixels_mean,fired_pixels_min,fired_pixels_max,event_rate_pixelwise,event_rate_eff,e_per_event_nJ,power_static_mW,power_dyn_valid_mW,power_dyn_fp_mW,power_dyn_fn_mW,power_total_mW,dvs_can_track,n_total_pixels,n_active_pixels,n_silent_pixels,active_fraction
25,10,low_texture,low_threshold,0.1,2789.6,57.4,50,66,574.0,574.0,0.1678,53.99,0.0,0.0,0.0,53.99,1,307200,115,307085,0.00037
25,10,low_texture,med_threshold,0.2,2789.6,50.0,49,50,500.0,500.0,0.1678,53.99,0.0,0.0,0.0,53.99,1,307200,115,307085,0.00037
25,10,low_texture,high_threshold,0.4,2789.6,50.0,49,50,500.0,500.0,0.1678,53.99,0.0,0.0,0.0,53.99,1,307200,115,307085,0.00037
25,50,low_texture,low_threshold,0.1,13948.0,57.4,50,66,2870.0,2870.0,0.1678,53.99,0.0,0.0,0.0,53.991,1,307200,176,307024,0.00057
25,50,low_texture,med_threshold,0.2,13948.0,50.0,49,50,2500.0,2500.0,0.1678,53.99,0.0,0.0,0.0,53.99,1,307200,176,307024,0.00057
25,50,low_texture,high_threshold,0.4,13948.0,50.0,49,50,2500.0,2500.0,0.1678,53.99,0.0,0.0,0.0,53.99,1,307200,176,307024,0.00057
25,100,low_texture,low_threshold,0.1,27896.0,57.4,50,66,5740.0,5740.0,0.1678,53.99,0.001,0.0,0.0,53.991,1,307200,253,306947,0.00082
25,100,low_texture,med_threshold,0.2,27896.0,50.0,49,50,5000.0,5000.0,0.1678,53.99,0.001,0.0,0.0,53.991,1,307200,253,306947,0.00082
25,100,low_texture,high_threshold,0.4,27896.0,50.0,49,50,5000.0,5000.0,0.1678,53.99,0.001,0.0,0.0,53.991,1,307200,253,306947,0.00082
25,200,low_texture,low_threshold,0.1,55792.0,57.4,50,66,11480.0,11480.0,0.1678,53.99,0.002,0.0,0.0,53.992,1,307200,407,306793,0.00132
25,200,low_texture,med_threshold,0.2,55792.0,50.0,49,50,10000.0,10000.0,0.1678,53.99,0.002,0.0,0.0,53.992,1,307200,407,306793,0.00132
25,200,low_texture,high_threshold,0.4,55792.0,50.0,49,50,10000.0,10000.0,0.1678,53.99,0.002,0.0,0.0,53.992,1,307200,407,306793,0.00132
25,500,low_texture,low_threshold,0.1,139480.0,57.4,50,66,28700.0,28700.0,0.1678,53.99,0.005,0.0,0.0,53.995,1,307200,868,306332,0.00283
25,500,low_texture,med_threshold,0.2,139480.0,50.0,49,50,25000.0,25000.0,0.1678,53.99,0.004,0.0,0.0,53.994,1,307200,868,306332,0.00283
25,500,low_texture,high_threshold,0.4,139480.0,50.0,49,50,25000.0,25000.0,0.1678,53.99,0.004,0.0,0.0,53.994,1,307200,868,306332,0.00283
25,1000,low_texture,low_threshold,0.1,278960.0,57.4,50,66,57400.0,57400.0,0.1678,53.99,0.009,0.001,0.0,54.0,1,307200,1636,305564,0.00533
25,1000,low_texture,med_threshold,0.2,278960.0,50.0,49,50,50000.0,50000.0,0.1678,53.99,0.008,0.001,0.0,53.999,1,307200,1636,305564,0.00533
25,1000,low_texture,high_threshold,0.4,278960.0,50.0,49,50,50000.0,50000.0,0.1678,53.99,0.008,0.001,0.0,53.999,1,307200,1636,305564,0.00533
25,2000,low_texture,low_threshold,0.1,557920.0,57.4,50,66,114800.0,114800.0,0.1678,53.99,0.018,0.002,0.001,54.01,1,307200,3172,304028,0.01033
25,2000,low_texture,med_threshold,0.2,557920.0,50.0,49,50,100000.0,100000.0,0.1678,53.99,0.016,0.002,0.001,54.008,1,307200,3172,304028,0.01033
25,2000,low_texture,high_threshold,0.4,557920.0,50.0,49,50,100000.0,100000.0,0.1678,53.99,0.016,0.002,0.001,54.008,1,307200,3172,304028,0.01033
50,10,low_texture,low_threshold,0.1,3889.6,109.4,102,118,1094.0,1094.0,0.1678,53.99,0.0,0.0,0.0,53.99,1,307200,215,306985,0.0007
50,10,low_texture,med_threshold,0.2,3889.6,102.0,101,102,1020.0,1020.0,0.1678,53.99,0.0,0.0,0.0,53.99,1,307200,215,306985,0.0007
50,10,low_texture,high_threshold,0.4,3889.6,102.0,101,102,1020.0,1020.0,0.1678,53.99,0.0,0.0,0.0,53.99,1,307200,215,306985,0.0007
50,50,low_texture,low_threshold,0.1,19448.0,109.4,102,118,5470.0,5470.0,0.1678,53.99,0.001,0.0,0.0,53.991,1,307200,276,306924,0.0009
50,50,low_texture,med_threshold,0.2,19448.0,102.0,101,102,5100.0,5100.0,0.1678,53.99,0.001,0.0,0.0,53.991,1,307200,276,306924,0.0009
50,50,low_texture,high_threshold,0.4,19448.0,102.0,101,102,5100.0,5100.0,0.1678,53.99,0.001,0.0,0.0,53.991,1,307200,276,306924,0.0009
50,100,low_texture,low_threshold,0.1,38896.0,109.4,102,118,10940.0,10940.0,0.1678,53.99,0.002,0.0,0.0,53.992,1,307200,353,306847,0.00115
50,100,low_texture,med_threshold,0.2,38896.0,102.0,101,102,10200.0,10200.0,0.1678,53.99,0.002,0.0,0.0,53.992,1,307200,353,306847,0.00115
50,100,low_texture,high_threshold,0.4,38896.0,102.0,101,102,10200.0,10200.0,0.1678,53.99,0.002,0.0,0.0,53.992,1,307200,353,306847,0.00115
50,200,low_texture,low_threshold,0.1,77792.0,109.4,102,118,21880.0,21880.0,0.1678,53.99,0.003,0.0,0.0,53.994,1,307200,507,306693,0.00165
50,200,low_texture,med_threshold,0.2,77792.0,102.0,101,102,20400.0,20400.0,0.1678,53.99,0.003,0.0,0.0,53.994,1,307200,507,306693,0.00165
50,200,low_texture,high_threshold,0.4,77792.0,102.0,101,102,20400.0,20400.0,0.1678,53.99,0.003,0.0,0.0,53.994,1,307200,507,306693,0.00165
50,500,low_texture,low_threshold,0.1,194480.0,109.4,102,118,54700.0,54700.0,0.1678,53.99,0.009,0.001,0.0,54.0,1,307200,968,306232,0.00315
50,500,low_texture,med_threshold,0.2,194480.0,102.0,101,102,51000.0,51000.0,0.1678,53.99,0.008,0.001,0.0,53.999,1,307200,968,306232,0.00315
50,500,low_texture,high_threshold,0.4,194480.0,102.0,101,102,51000.0,51000.0,0.1678,53.99,0.008,0.001,0.0,53.999,1,307200,968,306232,0.00315
50,1000,low_texture,low_threshold,0.1,388960.0,109.4,102,118,109400.0,109400.0,0.1678,53.99,0.017,0.002,0.001,54.009,1,307200,1736,305464,0.00565
50,1000,low_texture,med_threshold,0.2,388960.0,102.0,101,102,102000.0,102000.0,0.1678,53.99,0.016,0.002,0.001,54.008,1,307200,1736,305464,0.00565
50,1000,low_texture,high_threshold,0.4,388960.0,102.0,101,102,102000.0,102000.0,0.1678,53.99,0.016,0.002,0.001,54.008,1,307200,1736,305464,0.00565
50,2000,low_texture,low_threshold,0.1,777920.0,109.4,102,118,218800.0,218800.0,0.1678,53.99,0.035,0.004,0.002,54.029,1,307200,3272,303928,0.01065
50,2000,low_texture,med_threshold,0.2,777920.0,102.0,101,102,204000.0,204000.0,0.1678,53.99,0.033,0.003,0.002,54.026,1,307200,3272,303928,0.01065
50,2000,low_texture,high_threshold,0.4,777920.0,102.0,101,102,204000.0,204000.0,0.1678,53.99,0.033,0.003,0.002,54.026,1,307200,3272,303928,0.01065
100,10,low_texture,low_threshold,0.1,6089.6,209.2,203,218,2092.0,2092.0,0.1678,53.99,0.0,0.0,0.0,53.99,1,307200,415,306785,0.00135
100,10,low_texture,med_threshold,0.2,6089.6,202.0,201,202,2020.0,2020.0,0.1678,53.99,0.0,0.0,0.0,53.99,1,307200,415,306785,0.00135
100,10,low_texture,high_threshold,0.4,6089.6,202.0,201,202,2020.0,2020.0,0.1678,53.99,0.0,0.0,0.0,53.99,1,307200,415,306785,0.00135
100,50,low_texture,low_threshold,0.1,30448.0,209.2,203,218,10460.0,10460.0,0.1678,53.99,0.002,0.0,0.0,53.992,1,307200,476,306724,0.00155
100,50,low_texture,med_threshold,0.2,30448.0,202.0,201,202,10100.0,10100.0,0.1678,53.99,0.002,0.0,0.0,53.992,1,307200,476,306724,0.00155
100,50,low_texture,high_threshold,0.4,30448.0,202.0,201,202,10100.0,10100.0,0.1678,53.99,0.002,0.0,0.0,53.992,1,307200,476,306724,0.00155
100,100,low_texture,low_threshold,0.1,60896.0,209.2,203,218,20920.0,20920.0,0.1678,53.99,0.003,0.0,0.0,53.994,1,307200,553,306647,0.0018
100,100,low_texture,med_threshold,0.2,60896.0,202.0,201,202,20200.0,20200.0,0.1678,53.99,0.003,0.0,0.0,53.994,1,307200,553,306647,0.0018
100,100,low_texture,high_threshold,0.4,60896.0,202.0,201,202,20200.0,20200.0,0.1678,53.99,0.003,0.0,0.0,53.994,1,307200,553,306647,0.0018
100,200,low_texture,low_threshold,0.1,121792.0,209.2,203,218,41840.0,41840.0,0.1678,53.99,0.007,0.001,0.0,53.997,1,307200,707,306493,0.0023
100,200,low_texture,med_threshold,0.2,121792.0,202.0,201,202,40400.0,40400.0,0.1678,53.99,0.006,0.001,0.0,53.997,1,307200,707,306493,0.0023
100,200,low_texture,high_threshold,0.4,121792.0,202.0,201,202,40400.0,40400.0,0.1678,53.99,0.006,0.001,0.0,53.997,1,307200,707,306493,0.0023
100,500,low_texture,low_threshold,0.1,304480.0,209.2,203,218,104600.0,104600.0,0.1678,53.99,0.017,0.002,0.001,54.008,1,307200,1168,306032,0.0038
100,500,low_texture,med_threshold,0.2,304480.0,202.0,201,202,101000.0,101000.0,0.1678,53.99,0.016,0.002,0.001,54.008,1,307200,1168,306032,0.0038
100,500,low_texture,high_threshold,0.4,304480.0,202.0,201,202,101000.0,101000.0,0.1678,53.99,0.016,0.002,0.001,54.008,1,307200,1168,306032,0.0038
100,1000,low_texture,low_threshold,0.1,608960.0,209.2,203,218,209200.0,209200.0,0.1678,53.99,0.033,0.004,0.002,54.027,1,307200,1936,305264,0.0063
100,1000,low_texture,med_threshold,0.2,608960.0,202.0,201,202,202000.0,202000.0,0.1678,53.99,0.032,0.003,0.002,54.026,1,307200,1936,305264,0.0063
100,1000,low_texture,high_threshold,0.4,608960.0,202.0,201,202,202000.0,202000.0,0.1678,53.99,0.032,0.003,0.002,54.026,1,307200,1936,305264,0.0063
100,2000,low_texture,low_threshold,0.1,1217920.0,209.2,203,218,418400.0,418400.0,0.1678,53.99,0.067,0.007,0.004,54.064,1,307200,3472,303728,0.0113
100,2000,low_texture,med_threshold,0.2,1217920.0,202.0,201,202,404000.0,404000.0,0.1678,53.99,0.064,0.007,0.003,54.061,1,307200,3472,303728,0.0113
100,2000,low_texture,high_threshold,0.4,1217920.0,202.0,201,202,404000.0,404000.0,0.1678,53.99,0.064,0.007,0.003,54.061,1,307200,3472,303728,0.0113
25,10,high_texture,low_threshold,0.1,14616.8,63976.9,63087,64653,639769.0,639769.0,0.1678,53.99,0.102,0.011,0.005,54.103,1,307200,222,306978,0.00072
25,10,high_texture,med_threshold,0.2,14616.8,4679.2,4488,6643,46792.0,46792.0,0.1678,53.99,0.007,0.001,0.0,53.998,1,307200,222,306978,0.00072
25,10,high_texture,high_threshold,0.4,14616.8,55.1,50,193,551.0,551.0,0.1678,53.99,0.0,0.0,0.0,53.99,1,307200,222,306978,0.00072
25,50,high_texture,low_threshold,0.1,73084.0,63976.9,63087,64653,3198845.0,3198845.0,0.1678,53.99,0.51,0.054,0.027,54.554,1,307200,714,306486,0.00232
25,50,high_texture,med_threshold,0.2,73084.0,4679.2,4488,6643,233960.0,233960.0,0.1678,53.99,0.037,0.004,0.002,54.031,1,307200,714,306486,0.00232
25,50,high_texture,high_threshold,0.4,73084.0,55.1,50,193,2755.0,2755.0,0.1678,53.99,0.0,0.0,0.0,53.991,1,307200,714,306486,0.00232
25,100,high_texture,low_threshold,0.1,146168.0,63976.9,63087,64653,6397690.0,6397690.0,0.1678,53.99,1.02,0.107,0.054,55.117,1,307200,1328,305872,0.00432
25,100,high_texture,med_threshold,0.2,146168.0,4679.2,4488,6643,467920.0,467920.0,0.1678,53.99,0.075,0.008,0.004,54.072,1,307200,1328,305872,0.00432
25,100,high_texture,high_threshold,0.4,146168.0,55.1,50,193,5510.0,5510.0,0.1678,53.99,0.001,0.0,0.0,53.991,1,307200,1328,305872,0.00432
25,200,high_texture,low_threshold,0.1,292336.0,63976.9,63087,64653,12795380.0,12795380.0,0.1678,53.99,2.04,0.215,0.107,56.245,1,307200,2557,304643,0.00832
25,200,high_texture,med_threshold,0.2,292336.0,4679.2,4488,6643,935840.0,935840.0,0.1678,53.99,0.149,0.016,0.008,54.155,1,307200,2557,304643,0.00832
25,200,high_texture,high_threshold,0.4,292336.0,55.1,50,193,11020.0,11020.0,0.1678,53.99,0.002,0.0,0.0,53.992,1,307200,2557,304643,0.00832
25,500,high_texture,low_threshold,0.1,730840.0,63976.9,63087,64653,31988450.0,31988450.0,0.1678,53.99,5.1,0.537,0.268,59.627,1,307200,6244,300956,0.02033
25,500,high_texture,med_threshold,0.2,730840.0,4679.2,4488,6643,2339600.0,2339600.0,0.1678,53.99,0.373,0.039,0.02,54.402,1,307200,6244,300956,0.02033
25,500,high_texture,high_threshold,0.4,730840.0,55.1,50,193,27550.0,27550.0,0.1678,53.99,0.004,0.0,0.0,53.995,1,307200,6244,300956,0.02033
25,1000,high_texture,low_threshold,0.1,1461680.0,63976.9,63087,64653,63976900.0,63976900.0,0.1678,53.99,10.201,1.074,0.537,65.264,1,307200,12388,294812,0.04033
25,1000,high_texture,med_threshold,0.2,1461680.0,4679.2,4488,6643,4679200.0,4679200.0,0.1678,53.99,0.746,0.079,0.039,54.815,1,307200,12388,294812,0.04033
25,1000,high_texture,high_threshold,0.4,1461680.0,55.1,50,193,55100.0,55100.0,0.1678,53.99,0.009,0.001,0.0,54.0,1,307200,12388,294812,0.04033
25,2000,high_texture,low_threshold,0.1,2923360.0,63976.9,63087,64653,127953800.0,127953800.0,0.1678,53.99,20.401,2.147,1.074,76.539,1,307200,24676,282524,0.08033
25,2000,high_texture,med_threshold,0.2,2923360.0,4679.2,4488,6643,9358400.0,9358400.0,0.1678,53.99,1.492,0.157,0.079,55.639,1,307200,24676,282524,0.08033
25,2000,high_texture,high_threshold,0.4,2923360.0,55.1,50,193,110200.0,110200.0,0.1678,53.99,0.018,0.002,0.001,54.009,1,307200,24676,282524,0.08033
50,10,high_texture,low_threshold,0.1,15716.8,63717.7,62792,64388,637177.0,637177.0,0.1678,53.99,0.102,0.011,0.005,54.102,1,307200,322,306878,0.00105
50,10,high_texture,med_threshold,0.2,15716.8,4709.2,4523,6661,47092.0,47092.0,0.1678,53.99,0.008,0.001,0.0,53.998,1,307200,322,306878,0.00105
50,10,high_texture,high_threshold,0.4,15716.8,107.1,102,241,1071.0,1071.0,0.1678,53.99,0.0,0.0,0.0,53.99,1,307200,322,306878,0.00105
50,50,high_texture,low_threshold,0.1,78584.0,63717.7,62792,64388,3185885.0,3185885.0,0.1678,53.99,0.508,0.053,0.027,54.551,1,307200,814,306386,0.00265
50,50,high_texture,med_threshold,0.2,78584.0,4709.2,4523,6661,235460.0,235460.0,0.1678,53.99,0.038,0.004,0.002,54.032,1,307200,814,306386,0.00265
50,50,high_texture,high_threshold,0.4,78584.0,107.1,102,241,5355.0,5355.0,0.1678,53.99,0.001,0.0,0.0,53.991,1,307200,814,306386,0.00265
50,100,high_texture,low_threshold,0.1,157168.0,63717.7,62792,64388,6371770.0,6371770.0,0.1678,53.99,1.016,0.107,0.053,55.113,1,307200,1428,305772,0.00465
50,100,high_texture,med_threshold,0.2,157168.0,4709.2,4523,6661,470920.0,470920.0,0.1678,53.99,0.075,0.008,0.004,54.073,1,307200,1428,305772,0.00465
50,100,high_texture,high_threshold,0.4,157168.0,107.1,102,241,10710.0,10710.0,0.1678,53.99,0.002,0.0,0.0,53.992,1,307200,1428,305772,0.00465
50,200,high_texture,low_threshold,0.1,314336.0,63717.7,62792,64388,12743540.0,12743540.0,0.1678,53.99,2.032,0.214,0.107,56.236,1,307200,2657,304543,0.00865
50,200,high_texture,med_threshold,0.2,314336.0,4709.2,4523,6661,941840.0,941840.0,0.1678,53.99,0.15,0.016,0.008,54.156,1,307200,2657,304543,0.00865
50,200,high_texture,high_threshold,0.4,314336.0,107.1,102,241,21420.0,21420.0,0.1678,53.99,0.003,0.0,0.0,53.994,1,307200,2657,304543,0.00865
50,500,high_texture,low_threshold,0.1,785840.0,63717.7,62792,64388,31858850.0,31858850.0,0.1678,53.99,5.08,0.535,0.267,59.604,1,307200,6344,300856,0.02065
50,500,high_texture,med_threshold,0.2,785840.0,4709.2,4523,6661,2354600.0,2354600.0,0.1678,53.99,0.375,0.04,0.02,54.405,1,307200,6344,300856,0.02065
50,500,high_texture,high_threshold,0.4,785840.0,107.1,102,241,53550.0,53550.0,0.1678,53.99,0.009,0.001,0.0,53.999,1,307200,6344,300856,0.02065
50,1000,high_texture,low_threshold,0.1,1571680.0,63717.7,62792,64388,63717700.0,63717700.0,0.1678,53.99,10.159,1.069,0.535,65.219,1,307200,12488,294712,0.04065
50,1000,high_texture,med_threshold,0.2,1571680.0,4709.2,4523,6661,4709200.0,4709200.0,0.1678,53.99,0.751,0.079,0.04,54.82,1,307200,12488,294712,0.04065
50,1000,high_texture,high_threshold,0.4,1571680.0,107.1,102,241,107100.0,107100.0,0.1678,53.99,0.017,0.002,0.001,54.009,1,307200,12488,294712,0.04065
50,2000,high_texture,low_threshold,0.1,3143360.0,63717.7,62792,64388,127435400.0,127435400.0,0.1678,53.99,20.318,2.139,1.069,76.447,1,307200,24776,282424,0.08065
50,2000,high_texture,med_threshold,0.2,3143360.0,4709.2,4523,6661,9418400.0,9418400.0,0.1678,53.99,1.502,0.158,0.079,55.65,1,307200,24776,282424,0.08065
50,2000,high_texture,high_threshold,0.4,3143360.0,107.1,102,241,214200.0,214200.0,0.1678,53.99,0.034,0.004,0.002,54.028,1,307200,24776,282424,0.08065
100,10,high_texture,low_threshold,0.1,17916.8,62578.3,61644,63251,625783.0,625783.0,0.1678,53.99,0.1,0.011,0.005,54.1,1,307200,522,306678,0.0017
100,10,high_texture,med_threshold,0.2,17916.8,4721.4,4536,6647,47214.0,47214.0,0.1678,53.99,0.008,0.001,0.0,53.998,1,307200,522,306678,0.0017
100,10,high_texture,high_threshold,0.4,17916.8,207.0,202,335,2070.0,2070.0,0.1678,53.99,0.0,0.0,0.0,53.99,1,307200,522,306678,0.0017
100,50,high_texture,low_threshold,0.1,89584.0,62578.3,61644,63251,3128915.0,3128915.0,0.1678,53.99,0.499,0.053,0.026,54.541,1,307200,1014,306186,0.0033
100,50,high_texture,med_threshold,0.2,89584.0,4721.4,4536,6647,236070.0,236070.0,0.1678,53.99,0.038,0.004,0.002,54.032,1,307200,1014,306186,0.0033
100,50,high_texture,high_threshold,0.4,89584.0,207.0,202,335,10350.0,10350.0,0.1678,53.99,0.002,0.0,0.0,53.992,1,307200,1014,306186,0.0033
100,100,high_texture,low_threshold,0.1,179168.0,62578.3,61644,63251,6257830.0,6257830.0,0.1678,53.99,0.998,0.105,0.053,55.093,1,307200,1628,305572,0.0053
100,100,high_texture,med_threshold,0.2,179168.0,4721.4,4536,6647,472140.0,472140.0,0.1678,53.99,0.075,0.008,0.004,54.073,1,307200,1628,305572,0.0053
100,100,high_texture,high_threshold,0.4,179168.0,207.0,202,335,20700.0,20700.0,0.1678,53.99,0.003,0.0,0.0,53.994,1,307200,1628,305572,0.0053
100,200,high_texture,low_threshold,0.1,358336.0,62578.3,61644,63251,12515660.0,12515660.0,0.1678,53.99,1.996,0.21,0.105,56.196,1,307200,2857,304343,0.0093
100,200,high_texture,med_threshold,0.2,358336.0,4721.4,4536,6647,944280.0,944280.0,0.1678,53.99,0.151,0.016,0.008,54.156,1,307200,2857,304343,0.0093
100,200,high_texture,high_threshold,0.4,358336.0,207.0,202,335,41400.0,41400.0,0.1678,53.99,0.007,0.001,0.0,53.997,1,307200,2857,304343,0.0093
100,500,high_texture,low_threshold,0.1,895840.0,62578.3,61644,63251,31289150.0,31289150.0,0.1678,53.99,4.989,0.525,0.263,59.504,1,307200,6544,300656,0.0213
100,500,high_texture,med_threshold,0.2,895840.0,4721.4,4536,6647,2360700.0,2360700.0,0.1678,53.99,0.376,0.04,0.02,54.406,1,307200,6544,300656,0.0213
100,500,high_texture,high_threshold,0.4,895840.0,207.0,202,335,103500.0,103500.0,0.1678,53.99,0.017,0.002,0.001,54.008,1,307200,6544,300656,0.0213
100,1000,high_texture,low_threshold,0.1,1791680.0,62578.3,61644,63251,62578300.0,62578300.0,0.1678,53.99,9.978,1.05,0.525,65.018,1,307200,12688,294512,0.0413
100,1000,high_texture,med_threshold,0.2,1791680.0,4721.4,4536,6647,4721400.0,4721400.0,0.1678,53.99,0.753,0.079,0.04,54.822,1,307200,12688,294512,0.0413
100,1000,high_texture,high_threshold,0.4,1791680.0,207.0,202,335,207000.0,207000.0,0.1678,53.99,0.033,0.003,0.002,54.027,1,307200,12688,294512,0.0413
100,2000,high_texture,low_threshold,0.1,3583360.0,62578.3,61644,63251,125156600.0,125156600.0,0.1678,53.99,19.955,2.101,1.05,76.046,1,307200,24976,282224,0.0813
100,2000,high_texture,med_threshold,0.2,3583360.0,4721.4,4536,6647,9442800.0,9442800.0,0.1678,53.99,1.506,0.158,0.079,55.654,1,307200,24976,282224,0.0813
100,2000,high_texture,high_threshold,0.4,3583360.0,207.0,202,335,414000.0,414000.0,0.1678,53.99,0.066,0.007,0.003,54.063,1,307200,24976,282224,0.0813
